DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2019-11-10,26-363,PHI,HOME,CHO,W (+8),0,19:19,4,8,.500,1,1,1.000,3,4,.750,2,3,5,4,2,0,1,0,12,13.7,+1,Trey Burke
2019-11-17,27-005,PHI,AWAY,CLE,W (+19),0,15:44,2,4,.500,0,1,.000,1,2,.500,0,3,3,4,0,0,0,2,5,5.5,+4,Trey Burke
2019-11-20,27-008,PHI,HOME,NYK,W (+5),0,14:50,3,6,.500,1,1,1.000,2,2,1.000,1,0,1,2,0,0,0,1,9,7.7,+4,Trey Burke
2019-11-22,27-010,PHI,HOME,SAS,W (+11),0,16:03,2,9,.222,0,1,.000,0,0,,1,0,1,2,0,0,0,0,4,0.6,+1,Trey Burke
2019-11-23,27-011,PHI,HOME,MIA,W (+27),0,21:27,1,7,.143,1,4,.250,0,0,,0,0,0,5,0,0,1,2,3,0.2,-7,Trey Burke
2019-11-29,27-017,PHI,AWAY,NYK,W (+6),0,17:31,2,4,.500,1,3,.333,0,0,,0,0,0,3,1,0,2,0,5,4.1,0,Trey Burke
2019-12-05,27-023,PHI,AWAY,WAS,L (-6),0,2:57,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+8,Trey Burke
2019-12-07,27-025,PHI,HOME,CLE,W (+47),0,26:35,9,12,.750,1,3,.333,2,3,.667,2,0,2,8,4,0,0,2,21,26.0,+22,Trey Burke
2019-12-15,27-033,PHI,AWAY,BRK,L (-20),0,6:27,2,5,.400,1,2,.500,0,0,,0,2,2,0,0,0,1,0,5,1.9,+3,Trey Burke
2019-12-20,27-038,PHI,HOME,DAL,L (-19),0,11:49,3,5,.600,1,2,.500,0,0,,3,0,3,2,0,0,1,0,7,7.2,-8,Trey Burke
2019-12-21,27-039,PHI,HOME,WAS,W (+17),0,15:08,5,6,.833,2,3,.667,0,0,,1,4,5,2,0,0,1,2,12,11.3,+14,Trey Burke
2019-12-23,27-041,PHI,AWAY,DET,W (+16),0,10:44,0,3,.000,0,0,,0,0,,0,0,0,1,0,0,1,3,0,-3.6,-4,Trey Burke
2019-12-25,27-043,PHI,HOME,MIL,W (+12),0,9:57,1,3,.333,1,1,1.000,0,0,,1,0,1,0,0,0,0,1,3,1.6,+3,Trey Burke
2019-12-27,27-045,PHI,AWAY,ORL,L (-1),0,8:54,1,1,1.000,0,0,,3,3,1.000,0,0,0,0,0,0,0,0,5,4.7,-2,Trey Burke
2019-12-28,27-046,PHI,AWAY,MIA,L (-1),0,22:10,5,9,.556,1,2,.500,0,0,,1,2,3,4,0,0,0,1,11,10.4,+13,Trey Burke
2019-12-31,27-049,PHI,AWAY,IND,L (-18),0,14:38,3,7,.429,1,2,.500,1,1,1.000,1,0,1,2,0,0,1,1,8,5.0,0,Trey Burke
2020-01-03,27-052,PHI,AWAY,HOU,L (-10),0,16:17,5,7,.714,0,1,.000,1,2,.500,0,3,3,3,0,0,1,3,11,8.5,-1,Trey Burke
2020-01-06,27-055,PHI,HOME,OKC,W (+7),0,15:36,5,7,.714,2,3,.667,0,0,,0,0,0,2,0,0,1,0,12,9.5,-4,Trey Burke
2020-01-09,27-058,PHI,HOME,BOS,W (+11),0,12:25,0,3,.000,0,1,.000,0,0,,1,2,3,2,0,0,0,0,0,0.6,0,Trey Burke
2020-01-11,27-060,PHI,AWAY,DAL,L (-18),0,10:25,3,6,.500,1,3,.333,0,1,.000,0,0,0,1,0,0,0,0,7,4.3,-1,Trey Burke
2020-01-13,27-062,PHI,AWAY,IND,L (-6),0,4:05,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-5,Trey Burke
2020-01-25,27-074,PHI,HOME,LAL,W (+17),0,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,Trey Burke
2020-02-01,27-081,PHI,AWAY,BOS,L (-21),0,5:05,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,0,0,2,2,-1.2,-4,Trey Burke
2020-02-03,27-083,PHI,AWAY,MIA,L (-31),0,12:00,0,2,.000,0,0,,0,0,,1,0,1,3,0,0,0,0,0,1.4,-11,Trey Burke
2020-07-31,27-262,DAL,HOME,HOU,L (-4),0,29:57,11,16,.688,8,10,.800,1,2,.500,0,1,1,6,1,0,0,2,31,28.5,+9,Trey Burke
2020-08-02,27-264,DAL,AWAY,PHO,L (-2),0,12:09,2,6,.333,0,2,.000,0,0,,0,0,0,1,2,0,1,1,4,1.9,-11,Trey Burke
2020-08-04,27-266,DAL,AWAY,SAC,W (+4),0,23:31,2,5,.400,1,3,.333,2,2,1.000,0,0,0,0,1,0,0,1,7,4.9,+2,Trey Burke
2020-08-06,27-268,DAL,HOME,LAC,L (-15),0,31:29,5,15,.333,0,7,.000,1,1,1.000,1,3,4,4,0,0,1,2,11,5.1,-16,Trey Burke
2020-08-08,27-270,DAL,HOME,MIL,W (+4),0,20:18,3,13,.231,2,6,.333,2,2,1.000,0,4,4,3,1,0,1,2,10,4.6,+10,Trey Burke
2020-08-10,27-272,DAL,AWAY,UTA,W (+8),0,23:55,5,10,.500,2,2,1.000,2,2,1.000,0,1,1,4,2,0,3,2,14,10.3,+1,Trey Burke
2020-08-11,27-273,DAL,HOME,POR,L (-3),1,31:27,4,9,.444,2,4,.500,2,2,1.000,0,4,4,9,1,1,2,2,12,13.7,+2,Trey Burke
2020-08-13,27-275,DAL,AWAY,PHO,L (-26),0,18:39,3,8,.375,1,3,.333,0,0,,0,1,1,3,1,0,1,0,7,5.0,-10,Trey Burke
